Country,State,City,Tourist Place,Address,Image URL,Reviews,Best Visiting Time,Best Visiting Days,Best Visiting Months,Nearby Attractions,Recommended Stay,Google Maps Link
USA,New York,Rochester,Wildlife Sanctuary in Rochester,"312 Wildlife Sanctuary St, Rochester, New York, USA","https://source.unsplash.com/400x300/?WildlifeSanctuary,Rochester",3.6,Morning,Weekdays,Summer,Nearby Theme Park,Hotel in Rochester,"https://www.google.com/maps/search/Wildlife+Sanctuary+in+Rochester,Rochester"
Australia,New South Wales,Sydney,Shopping Mall in Sydney,"634 Shopping Mall St, Sydney, New South Wales, Australia","https://source.unsplash.com/400x300/?ShoppingMall,Sydney",4.0,Afternoon,Anytime,Autumn,Nearby Beach,Hostel in Sydney,"https://www.google.com/maps/search/Shopping+Mall+in+Sydney,Sydney"
USA,New York,New York City,Amusement Park in New York City,"89 Amusement Park St, New York City, New York, USA","https://source.unsplash.com/400x300/?AmusementPark,NewYorkCity",4.2,Evening,Weekdays,Autumn,Nearby Theme Park,Resort in New York City,"https://www.google.com/maps/search/Amusement+Park+in+New+York+City,New York City"
Japan,Tokyo,Shibuya,Beach in Shibuya,"917 Beach St, Shibuya, Tokyo, Japan","https://source.unsplash.com/400x300/?Beach,Shibuya",4.0,Evening,Anytime,Spring,Nearby Museum,Hotel in Shibuya,"https://www.google.com/maps/search/Beach+in+Shibuya,Shibuya"
Australia,Victoria,Melbourne,Wildlife Sanctuary in Melbourne,"593 Wildlife Sanctuary St, Melbourne, Victoria, Australia","https://source.unsplash.com/400x300/?WildlifeSanctuary,Melbourne",4.0,Morning,Anytime,Summer,Nearby Historical Site,Resort in Melbourne,"https://www.google.com/maps/search/Wildlife+Sanctuary+in+Melbourne,Melbourne"
France,Normandy,Rouen,Beach in Rouen,"308 Beach St, Rouen, Normandy, France","https://source.unsplash.com/400x300/?Beach,Rouen",5.0,Evening,Anytime,Autumn,Nearby Temple,Hostel in Rouen,"https://www.google.com/maps/search/Beach+in+Rouen,Rouen"
France,Provence-Alpes-Côte d'Azur,Nice,Amusement Park in Nice,"569 Amusement Park St, Nice, Provence-Alpes-Côte d'Azur, France","https://source.unsplash.com/400x300/?AmusementPark,Nice",4.6,Evening,Weekends,Spring,Nearby Theme Park,Hostel in Nice,"https://www.google.com/maps/search/Amusement+Park+in+Nice,Nice"
Australia,Victoria,Melbourne,Historical Site in Melbourne,"206 Historical Site St, Melbourne, Victoria, Australia","https://source.unsplash.com/400x300/?HistoricalSite,Melbourne",5.0,Morning,Weekdays,Winter,Nearby Shopping Mall,Resort in Melbourne,"https://www.google.com/maps/search/Historical+Site+in+Melbourne,Melbourne"
Australia,Queensland,Gold Coast,Botanical Garden in Gold Coast,"269 Botanical Garden St, Gold Coast, Queensland, Australia","https://source.unsplash.com/400x300/?BotanicalGarden,GoldCoast",4.0,Afternoon,Weekends,Spring,Nearby Museum,Hotel in Gold Coast,"https://www.google.com/maps/search/Botanical+Garden+in+Gold+Coast,Gold Coast"
France,Normandy,Caen,Amusement Park in Caen,"104 Amusement Park St, Caen, Normandy, France","https://source.unsplash.com/400x300/?AmusementPark,Caen",4.1,Evening,Anytime,Autumn,Nearby Wildlife Sanctuary,Hotel in Caen,"https://www.google.com/maps/search/Amusement+Park+in+Caen,Caen"
USA,California,Los Angeles,Wildlife Sanctuary in Los Angeles,"344 Wildlife Sanctuary St, Los Angeles, California, USA","https://source.unsplash.com/400x300/?WildlifeSanctuary,LosAngeles",4.4,Afternoon,Weekdays,Spring,Nearby Amusement Park,Hostel in Los Angeles,"https://www.google.com/maps/search/Wildlife+Sanctuary+in+Los+Angeles,Los Angeles"
Australia,Queensland,Gold Coast,Mountain in Gold Coast,"194 Mountain St, Gold Coast, Queensland, Australia","https://source.unsplash.com/400x300/?Mountain,GoldCoast",3.9,Afternoon,Anytime,Autumn,Nearby Mountain,Hostel in Gold Coast,"https://www.google.com/maps/search/Mountain+in+Gold+Coast,Gold Coast"
