City,Place,Ratings,Ideal_Duration,Best_Time_to_Visit,City_Desc,Latitude,Longitude
Tokyo,Colosseum,4.5,2,Autumn,A must-visit site known for its cultural significance.,-0.17737421267651143,123.75302923410686
Tokyo,Sydney Opera House,4.9,6,Spring,A must-visit site known for its cultural significance.,9.324993468188865,42.8396539728605
Paris,Grand Palace,4.5,7,Summer,A must-visit site known for its cultural significance.,-82.82432520524105,-125.38726052778412
Bangkok,Hagia Sophia,4.7,1,Spring & Summer,One of the most famous tourist attractions in the world.,-41.81505822332434,28.95109566254561
Rome,Hagia Sophia,3.7,4,Spring & Summer,An architectural marvel offering stunning cityscapes.,74.6611532665415,-158.83069997281055
Istanbul,Colosseum,3.7,7,Autumn & Winter,An architectural marvel offering stunning cityscapes.,-6.088928184155691,96.772304717113
New York,Colosseum,4.0,1,Summer,An architectural marvel offering stunning cityscapes.,-53.753348256739834,-37.07654802340042
Tokyo,Statue of Liberty,3.8,5,Winter,A historic landmark with breathtaking views.,-38.78300984568968,9.927525239367895
Sydney,Shibuya Crossing,4.8,2,Autumn,A must-visit site known for its cultural significance.,-85.3734373326649,166.66117262030917
Paris,Hagia Sophia,3.9,1,Summer,An architectural marvel offering stunning cityscapes.,63.61098536712214,108.31027098062259
Sydney,Sydney Opera House,3.6,4,Autumn,A must-visit site known for its cultural significance.,-25.10426397581834,7.593871623047477
Singapore,Sydney Opera House,4.0,4,Autumn,An architectural marvel offering stunning cityscapes.,-0.4777991357697715,-33.13410719898468
Istanbul,Sydney Opera House,4.5,1,Summer,One of the most famous tourist attractions in the world.,6.918328740038191,-111.35538050443941
Istanbul,Marina Bay Sands,4.4,4,Year-Round,An architectural marvel offering stunning cityscapes.,-9.06549497366133,162.03590558199534
Istanbul,Eiffel Tower,3.8,3,Spring & Summer,A top-rated destination attracting millions of visitors annually.,-21.30911960681661,55.86957464190769
London,Eiffel Tower,4.4,4,Spring & Summer,An architectural marvel offering stunning cityscapes.,-42.21129683632164,-14.852127507775748
Istanbul,Marina Bay Sands,5.0,6,Autumn & Winter,A historic landmark with breathtaking views.,67.10558997842463,131.4813958639022
Bangkok,Burj Khalifa,4.8,6,Autumn,A top-rated destination attracting millions of visitors annually.,80.73666451806375,127.79083789334999
Singapore,Eiffel Tower,4.5,5,Spring & Summer,A historic landmark with breathtaking views.,-21.427939762665176,173.3885238028888
Dubai,Sydney Opera House,3.6,5,Spring & Summer,One of the most famous tourist attractions in the world.,43.17539257127484,155.57970053802075
Dubai,Hagia Sophia,3.9,1,Summer,A top-rated destination attracting millions of visitors annually.,59.801675202086074,-96.09788621243557
Dubai,Grand Palace,4.0,1,Spring & Summer,A must-visit site known for its cultural significance.,71.96612482266272,-155.34388830740158
Bangkok,Hagia Sophia,4.5,3,Summer,A must-visit site known for its cultural significance.,0.056656989895216725,-45.56191405479183
New York,Eiffel Tower,3.7,5,Spring,A historic landmark with breathtaking views.,-65.5408270756424,142.23727287323055
Dubai,Colosseum,4.3,4,Spring,An architectural marvel offering stunning cityscapes.,41.450596103437704,-12.226808880409862
Singapore,Sydney Opera House,4.9,5,Summer,One of the most famous tourist attractions in the world.,61.943039350004625,-102.11515202945425
Sydney,Statue of Liberty,4.4,5,Autumn & Winter,A historic landmark with breathtaking views.,86.36413739453431,-58.07897657272443
Singapore,Hagia Sophia,4.5,7,Winter,A must-visit site known for its cultural significance.,-11.962177091162516,17.873677367995327
London,Colosseum,3.9,6,Winter,One of the most famous tourist attractions in the world.,-62.192600287348384,-31.321991063262857
Paris,Marina Bay Sands,3.9,3,Summer,An architectural marvel offering stunning cityscapes.,40.435389074073754,-63.436401616276626
London,Burj Khalifa,4.0,6,Spring & Summer,A historic landmark with breathtaking views.,-73.95594228000681,-45.07494025103151
New York,Marina Bay Sands,4.7,5,Winter,An architectural marvel offering stunning cityscapes.,56.62143873204198,-58.21721831686304
Sydney,Burj Khalifa,3.5,1,Autumn,A top-rated destination attracting millions of visitors annually.,-52.782233831803644,-71.45260061514321
New York,Sydney Opera House,4.7,3,Spring,A historic landmark with breathtaking views.,-32.302914145564515,-50.1263733032809
Paris,Shibuya Crossing,4.2,2,Winter,A must-visit site known for its cultural significance.,-11.81671092918441,-49.56429019052382
Bangkok,Burj Khalifa,3.8,6,Summer,A top-rated destination attracting millions of visitors annually.,48.79988143830522,15.453352732049979
Paris,Big Ben,3.9,1,Autumn & Winter,One of the most famous tourist attractions in the world.,50.07050929202961,118.3042088914188
Istanbul,Statue of Liberty,3.6,7,Spring,A must-visit site known for its cultural significance.,33.49924482413034,-89.90086917697246
