Country,State,Place,Address,Ratings,Reviews,Best_Time_to_Visit,Latitude,Longitude
India,Maharashtra,Gateway of India - 4126,"Gateway of India Road, Maharashtra, India",4.0,Great for photography!,Summer,21.327869,-46.334867
India,Maharashtra,Gateway of India - 2393,"Gateway of India Road, Maharashtra, India",4.6,Highly recommended!,Spring,87.30587,39.513259
India,Maharashtra,Gateway of India - 2134,"Gateway of India Road, Maharashtra, India",4.8,Breathtaking view!,Summer,89.092799,38.352078
India,Maharashtra,Gateway of India - 3097,"Gateway of India Road, Maharashtra, India",3.5,Loved the experience!,Summer,-58.336138,-169.652328
India,Maharashtra,Gateway of India - 408,"Gateway of India Road, Maharashtra, India",3.7,Breathtaking view!,Autumn,9.695236,103.785116
India,Maharashtra,Gateway of India - 3914,"Gateway of India Road, Maharashtra, India",3.7,Loved the experience!,Spring,-7.293444,-104.181377
India,Maharashtra,Gateway of India - 1237,"Gateway of India Road, Maharashtra, India",4.9,Great for photography!,Winter,-79.237033,-35.038069
India,Maharashtra,Gateway of India - 3269,"Gateway of India Road, Maharashtra, India",4.5,Highly recommended!,Summer,48.818581,-9.719824
India,Maharashtra,Gateway of India - 4204,"Gateway of India Road, Maharashtra, India",3.7,A must-visit location!,Spring,-51.006673,123.52221
India,Maharashtra,Gateway of India - 341,"Gateway of India Road, Maharashtra, India",3.8,Loved the experience!,Winter,30.614869,126.09704
India,Maharashtra,Gateway of India - 4843,"Gateway of India Road, Maharashtra, India",3.6,Highly recommended!,Summer,-3.777524,-131.551745
India,Maharashtra,Gateway of India - 549,"Gateway of India Road, Maharashtra, India",4.4,A must-visit location!,Autumn,70.230237,156.010696
India,Maharashtra,Gateway of India - 336,"Gateway of India Road, Maharashtra, India",4.5,Amazing place to visit!,Winter,-75.559067,-130.77222
India,Maharashtra,Gateway of India - 4187,"Gateway of India Road, Maharashtra, India",4.9,Loved the experience!,Autumn,-7.001403,-37.352225
India,Maharashtra,Gateway of India - 3063,"Gateway of India Road, Maharashtra, India",4.7,Loved the experience!,Summer,72.798951,-98.715666
India,Maharashtra,Gateway of India - 217,"Gateway of India Road, Maharashtra, India",4.0,Amazing place to visit!,Winter,-54.672061,25.602041
India,Maharashtra,Gateway of India - 3095,"Gateway of India Road, Maharashtra, India",4.4,Breathtaking view!,Summer,55.178456,40.635231
India,Maharashtra,Gateway of India - 1104,"Gateway of India Road, Maharashtra, India",3.6,Great for photography!,Summer,-36.140074,86.218018
India,Maharashtra,Gateway of India - 1837,"Gateway of India Road, Maharashtra, India",4.5,Breathtaking view!,Spring,-54.394956,151.301272
India,Maharashtra,Gateway of India - 4644,"Gateway of India Road, Maharashtra, India",4.8,Breathtaking view!,Winter,75.844626,175.068265
India,Maharashtra,Gateway of India - 633,"Gateway of India Road, Maharashtra, India",4.9,Amazing place to visit!,Winter,-30.191106,-171.916413
India,Maharashtra,Gateway of India - 753,"Gateway of India Road, Maharashtra, India",4.7,Loved the experience!,Winter,-17.52307,124.108535
India,Maharashtra,Gateway of India - 4424,"Gateway of India Road, Maharashtra, India",3.5,Loved the experience!,Winter,-0.172291,47.207736
